customer_id,age,gender,city,state,tier,language_preference,income_type_declared,avg_monthly_income,income_pattern,avg_income_per_credit,income_credit_count,income_interval_days_mean,income_interval_days_std,income_amount_cv,rolling_income_30d_mean,rolling_income_30d_std,avg_monthly_savings_rate,savings_rate_trend,balance_trend,has_active_loans,num_active_loans,total_monthly_emi,emi_to_income_ratio,missed_emi_count,late_emi_count,emi_on_time_rate,max_days_late,essential_spend_share,discretionary_spend_share,cash_withdrawal_share,new_device_rate,new_beneficiary_rate,new_merchant_rate,txn_velocity_last_7d,num_distinct_devices,data_coverage_score,data_quality_score,overall_confidence_score,overall_confidence_band,data_coverage_note,overall_confidence,profile_computed_at,archetype_ground_truth,split
cust_f7aebb5b57,24,Other,Coimbatore,Tamil Nadu,Tier 2,Marathi,salaried,39396.05,salaried_regular,39396.05,12,29.55,0.78,0.0,78792.1,0.0,0.4599,-0.03029,17145.17,True,1,15735.95,0.399,0,0,1.0,0,0.482,0.329,0.147,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.776968+00:00,stable_salaried,train
cust_59f3d1d2c0,56,Other,Bengaluru,Karnataka,Tier 1,English,gig_irregular,14884.94,gig_irregular,2224.19,87,3.63,1.53,0.426,23508.68,827.96,0.6941,-0.00209,10615.69,True,2,23472.49,1.577,0,0,1.0,0,0.656,0.344,0.0,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.795705+00:00,gig_irregular,test
cust_01504fdeb8,49,Female,Chhindwara,Madhya Pradesh,Tier 4,Tamil,salaried,68945.83,salaried_regular,68945.83,12,29.45,0.99,0.0,137891.66,0.0,0.4878,-0.00535,35184.77,True,1,6230.7,0.09,0,0,1.0,0,0.536,0.354,0.048,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.811959+00:00,stable_salaried,train
cust_63d81ca24e,57,Female,Delhi,Delhi,Tier 1,English,salaried,64903.12,salaried_regular,70311.71,12,29.27,0.75,0.0,140623.42,0.0,0.4835,-0.01802,33925.34,True,1,13447.6,0.207,0,0,1.0,0,0.606,0.35,0.22,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.826198+00:00,stable_salaried,train
cust_3f9c441822,41,Female,Barpeta,Assam,Tier 4,Kannada,gig_irregular,14672.15,gig_irregular,2096.02,91,3.49,1.5,0.46,16766.62,886.81,0.7325,0.00044,11705.55,False,0,0.0,0.0,0,0,1.0,0,0.798,0.202,0.0,0.0,0.0,0.0,5,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.834576+00:00,gig_irregular,train
cust_5e3e5e66b6,30,Male,Delhi,Delhi,Tier 1,Kannada,gig_irregular,15187.5,gig_irregular,2350.45,84,3.77,1.49,0.4,13861.12,1064.77,0.7319,0.00834,11737.09,False,0,0.0,0.0,0,0,1.0,0,0.813,0.187,0.0,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.858200+00:00,gig_irregular,train
cust_f6ba2d9037,23,Other,Bengaluru,Karnataka,Tier 1,Marathi,salaried,55838.27,salaried_regular,60491.46,12,29.45,0.66,0.0,60491.46,0.0,0.4809,-0.02112,28863.57,True,2,32205.67,0.577,0,0,1.0,0,0.495,0.357,0.094,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.868221+00:00,stable_salaried,train
cust_8ab6c38f9c,49,Other,Bilaspur,Chhattisgarh,Tier 3,Tamil,gig_irregular,14543.93,gig_irregular,2100.79,90,3.45,1.49,0.46,12757.79,691.49,0.6839,-0.0122,10599.86,False,0,0.0,0.0,0,0,1.0,0,0.613,0.387,0.0,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.884690+00:00,gig_irregular,train
cust_5949e29f28,35,Male,Jhansi,Uttar Pradesh,Tier 3,English,salaried,25119.7,mixed_or_business,27213.01,12,29.82,2.48,0.372,10765.59,0.0,-0.0226,-0.17194,4897.64,True,1,24590.65,0.979,2,2,0.667,999,0.841,0.046,0.263,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.900000+00:00,financially_stressed,train
cust_ae6453a2d7,60,Other,Delhi,Delhi,Tier 1,Bengali,salaried,42134.22,salaried_regular,45645.4,12,29.55,0.78,0.0,91290.8,0.0,0.4552,-0.0184,20634.04,True,1,3890.28,0.092,0,0,1.0,0,0.505,0.341,0.128,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.914153+00:00,stable_salaried,train
cust_ad0f51974b,27,Female,Coimbatore,Tamil Nadu,Tier 2,Telugu,salaried,31920.28,mixed_or_business,34580.3,12,30.27,3.36,0.372,13680.12,0.0,-0.0162,-0.17977,7232.73,True,1,2037.25,0.064,2,2,0.667,999,0.95,0.035,0.051,0.0,0.0,0.0,1,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.924368+00:00,financially_stressed,train
cust_fd0872c1e7,52,Male,Mumbai,Maharashtra,Tier 1,Hindi,gig_irregular,16694.72,gig_irregular,2384.96,91,3.41,1.42,0.397,29923.85,942.13,0.6753,0.02894,12768.93,False,0,0.0,0.0,0,0,1.0,0,0.752,0.248,0.0,0.0,0.0,0.0,5,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.934556+00:00,gig_irregular,train
cust_c6b2e6d815,57,Other,Nagpur,Maharashtra,Tier 2,Tamil,salaried,68905.12,salaried_regular,68905.12,12,29.36,0.48,0.0,137810.24,0.0,0.4954,-0.01766,35075.66,True,1,5007.94,0.073,0,0,1.0,0,0.523,0.35,0.13,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.951360+00:00,stable_salaried,train
cust_2d0900313b,49,Male,Indore,Madhya Pradesh,Tier 2,Marathi,salaried,51039.64,salaried_regular,55292.94,12,29.45,0.78,0.0,55292.94,0.0,0.4759,-0.02484,26723.97,True,1,11551.4,0.226,0,0,1.0,0,0.534,0.324,0.236,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.968801+00:00,stable_salaried,train
cust_8d08482557,57,Other,Bilaspur,Chhattisgarh,Tier 3,Hindi,salaried,77474.89,salaried_regular,83931.13,12,29.18,0.72,0.0,167862.26,0.0,0.4858,-0.02663,34810.64,True,2,19669.07,0.254,0,0,1.0,0,0.394,0.305,0.069,0.0488,0.0488,0.0488,5,2,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.983701+00:00,fraud_scenario,train
cust_e54d42078a,49,Female,Nagpur,Maharashtra,Tier 2,Gujarati,salaried,82940.88,salaried_regular,89852.62,12,29.45,0.78,0.0,89852.62,0.0,0.4246,-0.02582,37966.38,True,1,17979.81,0.217,0,0,1.0,0,0.489,0.352,0.159,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.991701+00:00,stable_salaried,test
cust_a959fc2cf0,59,Female,Coimbatore,Tamil Nadu,Tier 2,Bengali,salaried,55567.52,salaried_regular,60198.15,12,29.64,1.07,0.0,60198.15,0.0,0.4359,-0.00971,25216.67,True,1,21816.28,0.393,0,0,1.0,0,0.483,0.368,0.126,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.009502+00:00,stable_salaried,train
cust_b4e4801cfe,43,Other,Bilaspur,Chhattisgarh,Tier 3,Gujarati,salaried,44068.22,salaried_regular,47740.57,12,29.36,0.77,0.0,95481.14,0.0,0.4549,-0.02978,21210.9,True,1,14789.33,0.336,0,0,1.0,0,0.535,0.337,0.085,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.018560+00:00,stable_salaried,train
cust_a8a2b8f1e5,56,Other,Delhi,Delhi,Tier 1,Tamil,salaried,24183.69,mixed_or_business,26199.0,12,30.45,2.93,0.372,10364.44,0.0,0.0357,-0.16409,5488.79,True,1,24237.4,1.002,2,3,0.583,999,0.924,0.024,0.189,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.037775+00:00,financially_stressed,test
cust_bcbbc71341,50,Other,Mumbai,Maharashtra,Tier 1,English,gig_irregular,16417.02,gig_irregular,2397.99,89,3.48,1.6,0.398,19329.61,801.39,0.6827,0.00998,11905.34,False,0,0.0,0.0,0,0,1.0,0,0.675,0.325,0.0,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.050056+00:00,gig_irregular,train
cust_5b90bc9fc0,22,Male,Nagpur,Maharashtra,Tier 2,Marathi,salaried,38979.16,mixed_or_business,42227.43,12,30.18,4.49,0.372,16705.36,0.0,0.0082,-0.16726,8756.69,True,1,23402.88,0.6,3,3,0.5,999,0.892,0.028,0.244,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.058680+00:00,financially_stressed,train
cust_a59e539dc3,43,Male,Indore,Madhya Pradesh,Tier 2,Bengali,salaried,27310.66,mixed_or_business,29586.55,12,29.91,1.5,0.372,23409.14,0.0,-0.0541,-0.17842,3931.26,True,1,17325.05,0.634,2,2,0.667,999,0.859,0.037,0.231,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.068380+00:00,financially_stressed,train
cust_687139b844,27,Other,Bilaspur,Chhattisgarh,Tier 3,Gujarati,gig_irregular,14762.07,gig_irregular,2231.48,86,3.65,1.41,0.454,16717.09,1165.03,0.7245,0.00726,11634.4,False,0,0.0,0.0,0,0,1.0,0,0.482,0.518,0.0,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.087523+00:00,gig_irregular,train
cust_d69af2ab6c,44,Female,Mumbai,Maharashtra,Tier 1,Kannada,salaried,40363.53,salaried_regular,43727.16,12,29.73,1.14,0.0,43727.16,0.0,0.4283,-0.035,13816.03,True,1,9428.86,0.234,0,0,1.0,0,0.349,0.263,0.14,0.0698,0.0698,0.0698,6,2,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.102826+00:00,fraud_scenario,train
cust_df65362828,21,Female,Mumbai,Maharashtra,Tier 1,Kannada,salaried,67841.22,salaried_regular,73494.65,12,29.36,0.88,0.0,146989.3,0.0,0.425,-0.00804,32423.0,True,1,22897.6,0.338,0,0,1.0,0,0.522,0.321,0.203,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.116927+00:00,stable_salaried,train
cust_0d5900be8b,52,Male,Jhansi,Uttar Pradesh,Tier 3,Kannada,gig_irregular,17112.09,gig_irregular,2293.37,97,3.2,1.55,0.426,15028.07,902.09,0.6995,0.0037,13907.64,True,2,41026.22,2.397,0,0,1.0,0,0.63,0.37,0.0,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.127468+00:00,gig_irregular,train
cust_d5183adc34,27,Other,Bilaspur,Chhattisgarh,Tier 3,English,salaried,33488.22,mixed_or_business,36278.91,12,30.45,2.9,0.372,14352.1,0.0,0.0245,-0.15991,6922.55,True,1,6455.33,0.193,4,2,0.5,999,0.889,0.016,0.306,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.137769+00:00,financially_stressed,train
cust_9982e2b097,49,Male,Deoria,Uttar Pradesh,Tier 4,English,gig_irregular,14769.65,gig_irregular,2258.89,85,3.63,1.37,0.454,18108.71,1052.4,0.6761,0.0023,10169.22,True,1,5213.42,0.353,0,0,1.0,0,0.664,0.336,0.0,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.158391+00:00,gig_irregular,train
cust_93cc9680d1,29,Female,Jhansi,Uttar Pradesh,Tier 3,Kannada,salaried,33886.55,mixed_or_business,33886.55,12,30.09,3.15,0.372,26811.34,0.0,-0.0668,-0.25499,9174.01,True,2,21005.37,0.62,3,6,0.625,999,0.93,0.028,0.15,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.168125+00:00,financially_stressed,train
cust_315fa06aab,33,Female,Bengaluru,Karnataka,Tier 1,Kannada,gig_irregular,14673.51,gig_irregular,2218.09,86,3.74,1.6,0.451,13427.35,1159.04,0.7641,-0.00835,11823.7,True,1,5900.34,0.402,0,0,1.0,0,0.748,0.252,0.0,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.185292+00:00,gig_irregular,train
cust_c6611e3ac8,53,Male,Guna,Madhya Pradesh,Tier 3,Tamil,salaried,31477.16,mixed_or_business,34100.26,12,30.18,3.41,0.372,13490.21,0.0,-0.0332,-0.18845,5812.31,True,1,19673.44,0.625,0,4,0.667,13,0.909,0.006,0.146,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.201862+00:00,financially_stressed,train
cust_a6558be157,21,Male,Bengaluru,Karnataka,Tier 1,Telugu,salaried,44343.13,salaried_regular,44343.13,12,29.91,0.79,0.0,44343.13,0.0,0.4602,-0.01676,20993.25,True,2,21385.74,0.482,0,0,1.0,0,0.533,0.345,0.157,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.215975+00:00,stable_salaried,train
cust_f2d3299243,33,Other,Mumbai,Maharashtra,Tier 1,Kannada,salaried,45011.21,salaried_regular,48762.14,12,29.55,0.78,0.0,48762.14,0.0,0.4492,-0.03543,21766.79,True,1,19613.92,0.436,0,0,1.0,0,0.533,0.33,0.158,0.0,0.0,0.0,1,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.226260+00:00,stable_salaried,train
cust_3bc7edbc2d,21,Female,Guna,Madhya Pradesh,Tier 3,Kannada,salaried,60061.38,salaried_regular,65066.5,12,29.55,0.5,0.0,65066.5,0.0,0.4894,-0.03128,31207.26,True,1,23995.32,0.4,0,0,1.0,0,0.523,0.302,0.205,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.235040+00:00,stable_salaried,train
cust_191d53f6a7,60,Other,Delhi,Delhi,Tier 1,Kannada,salaried,81973.93,salaried_regular,88805.09,12,29.45,0.89,0.0,177610.18,0.0,0.4324,-0.01446,36630.8,True,1,17387.87,0.212,0,0,1.0,0,0.538,0.346,0.213,0.0,0.0,0.0,1,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:09.255218+00:00,stable_salaried,train
